Date,Rainfall,Temp,Humidity,Wind Speed,Solar Rad,SO2,NO2,CO,O3,PM2.5,PM10
1/1/2013,0,17,69,0,183.69,10.99,64.8,3.01,7.77,178.41,515.31
1/2/2013,0,18.4,68,2,203.27,13.41,71.56,2.73,7.78,204.03,473.83
1/3/2013,0,18.9,74,0,188.48,10.87,67.23,2.45,6.91,278.17,462.5
1/4/2013,0,19.9,70,2,251.45,12.87,61.54,0.96,20.99,191.92,402.0825
1/5/2013,0,18.7,60,2,362.78,15.03333333,55.85,2.366666667,19.49666667,212.9466667,341.665
1/6/2013,0,18.2,53,2,267.89,17.19666667,53.43,3.773333333,18.00333333,233.9733333,281.2475
1/7/2013,0,17.1,59,2,173,19.36,51.01,5.18,16.51,255,220.83
1/8/2013,0,12.5,71,2.3,137.65,7.67,52.6,2.38,18.42,217.7,271.03
1/9/2013,0,10.4,81,2,132.54,5.66,52.16,1.29,19.49,205.36,263.36
1/10/2013,0,12.3,80,2,123.94,15.27,57.19,2.21,18.74,290.69,416.27
1/11/2013,0,12.5,79,0,145,5.68,60.45,1.73,20.51,245.63,312.39
1/12/2013,0,15.8,66,2,151.13,7.32,60.26,1.57,18.78,214.04,276.26
1/13/2013,0,16.8,73,2,191.01,15.34,62.84,1.29,18.08,214.24,292.34
1/14/2013,0,17.7,68,0,177.68,14.95,75.33,1.93,19.04,254.9,361.72
1/15/2013,0,18.5,63,2,190.69,14.88,79.18,2.29,20.16,204.31,322.05
1/16/2013,0,18.6,68,0,228.69,4.7,68.86,0.98,16.53,204.76,277.08
1/17/2013,0,19.4,67,0,223.79,15.24,75.35,1.83,18.89,221.97,323.88
1/18/2013,0,20,67,2,217.705,14.095,71.425,1.645,18.775,195.56,294.755
1/19/2013,0,21.6,62,0,211.62,12.95,67.5,1.46,18.66,169.15,265.63
1/20/2013,0,21.5,64,2,198.64,18.31,57.54,1.06,19,161.82,221.49
1/21/2013,0,19.6,58,2,189.15,11.03,55.59,1.34,16.91,115.88,182.53
1/22/2013,0,19.4,58,2,186.47,16.44,54.67,1.5,17.03,139.79,199.42
1/23/2013,0,19,59,2.3,187.28,12.45,57.05,2.46,18.82,121.92,187.14
1/24/2013,0,18.5,60,2.7,189.85,3.6,49.84,1.68,17.8,122.33,174.87
1/25/2013,0,15.7,66,2.6,257.43,7.395,49.96,1.085,17.65,125.175,178.34
1/26/2013,0,16.1,59,2.4,325.01,11.19,50.08,0.49,17.5,128.02,181.81
1/27/2013,0,17,66,2,302.82,9.6,54.44,2.06,18.25,171.79,234.81
1/28/2013,0,18.2,64,2,348.99,10.23,67.43,1.67,17.23,181.67,231.52
1/29/2013,0,17.9,65,2,356.43,9.85,61.92,1.67,16.7,178.18,245.2
1/30/2013,0,19.6,51,2,355.47,15.73,69.68,1.44,17.22,203.05,333.56
1/31/2013,0,20,60,0,363.45,13.62,73.57,1.6,16.31,197.83,276.5
2/1/2013,0,19.6,69,0,382.88,16.46,82.94,2.02,15.85,245.73,342.65
2/2/2013,0,21.4,59,2,386.99,12.39,78.13,1.62,16.43,224.81,296.38
2/3/2013,0,22.3,49,2,403.8,19.18,64.38,0.84,16.71,167.09,237.17
2/4/2013,0,22.3,55,2,430.6,9.61,69.5,1.35,15.92,125.55,216.19
2/5/2013,0,23.2,58,2,414.49,10.7,86.38,1.6,16.44,164.65,242.44
2/6/2013,0,23.8,53,3,423.33,11.38,76.7,1.13,15.9,119.84,197.56
2/7/2013,0,24.2,55,2,427.64,12.37,71.04,1.37,14.57,130.31,222.8
2/8/2013,0,22,62,2.4,408.85,6.14,40.86,1.34,13.24,76.68,132.92
2/9/2013,0,20.7,54,2,389.45,8.16,51.55,0.93,11.91,114.41,152.53
2/10/2013,0,21.5,49,3,381.34,10.25,59.57,1.15,10.58,127.23,175.19
2/11/2013,0,22.5,51,2,387.28,9.77,67.92,1.15,9.25,133.07,187.78
2/12/2013,0,23.3,52,2,356.36,10.28,74.77,1.01,7.92,128.23,201.88
2/13/2013,0,23.4,51,2,395.74,16.23,74.04,1.01,6.59,125.24,196.72
2/14/2013,0,22.4,54,3,399.31,20.87,98.8,1.63,3.37,169.8,208.37
2/15/2013,0,23.8,43,2,406.7,24.79,97.08,2.11,2.73,228.31,353.63
2/16/2013,0,23.5,56,2,373.49,13.74,73.1,0.99,4.04,156.97,262.7
2/17/2013,0,19.1,82,3,374.13,8.79,69.17,1.24,9.95,123.9,211.45
2/18/2013,8,17.9,83,2,202.96,7.25,58.14,1.36,16.4,77.41,41.62
2/19/2013,0,20.4,63,2.5,202.75,9.24,79.6,1.52,20.69,93.16,54.98
2/20/2013,0,22.3,55,2,213.87,7.58,61.05,1.12,30.77,80.11,36.05
2/21/2013,0,23.1,55,2.8,221.63,4.85,55.28,1.25,25.72,84.13,32.16
2/22/2013,0,24.5,51,2.5,230.98,8.16,57.55,0.86,24.51,88.66,30.68
2/23/2013,0,24.8,56,2,252.55,18.18,68.46,0.99,30.13,106.93,101.84
2/24/2013,0,25.9,51,2,229.66,12.5,60.38,1.16,19.78,148.73,201.59
2/25/2013,0,25.8,49,2,274.54,6.76,67.96,3.77,21.1,74.04,157.07
2/26/2013,0,25.5,46,2.3,260.62,10.72,52.75,2.28,21.58,89.51,133.99
2/27/2013,0,25.6,52,3,299.11,12.33,62.54,1.05,33.9,82.73,152.88
2/28/2013,0,25.2,52,2,295.64,14.61,63.5,1.04,27.85,113.11,188.38
3/1/2013,0,24,43,3,277.78,16.61,74.97,1.06,30.12,95.17,173.91
3/2/2013,0,24.4,44,2.3,282,17.47,78.24,1.75,30.56,104.7,190.13
3/3/2013,0,24.8,56,2,289.27,8.06,53.12,1.64,33.25,104.09,173.57
3/4/2013,0,25.5,51,2,294.27,14.77,46.55,1.65,31.99,156.89,233.59
3/5/2013,0,25.1,50,2,300.21,15.68,59.32,1.6,27.55,154.84,233.95
3/6/2013,0,26.1,51,2,294.28,22.35,86.31,3.02,23.74,221.91,361.2
3/7/2013,0,26.5,45,4,301.8,15.23,91.82,2.3,24.19,184.61,289.36
3/8/2013,0,26.2,45,2.3,307.33,17.55,84.38,1.52,24.39,152.27,242.24
3/9/2013,0,26.2,47,3,301.12,21.96,82.68,1.73,28.47,164.81,261.43
3/10/2013,0,27,43,2.7,285.19,24.85,78.34,1.17,17.61,173.69,277.47
3/11/2013,0,26.5,68,2,258,8.56,33.49,2.05,18.95,75,133.23
3/12/2013,0,27.5,70,2,259.85,8.44,32.35,5.01,22.31,50.09,95.21
3/13/2013,0,26.8,74,2,273.44,7.39,43.55,1.55,18.8,63.6,111.47
3/14/2013,8,28.3,66,2,274.99,6.11,40.31,2.21,18.45,94.08,136.85
3/15/2013,0,29.5,58,2.5,280.73,6.643333333,43.29666667,1.81,23.33,100.3833333,169.1166667
3/16/2013,0,28.5,53,2,286.47,7.176666667,46.28333333,1.41,28.21,106.6866667,201.3833333
3/17/2013,0,26,55,3,292.21,7.71,49.27,1.01,33.09,112.99,233.65
3/18/2013,0,26.4,44,2.5,260.54,12.55,26.17,1.09,36.15,76.42,136.53
3/19/2013,0,27.9,50,2,380.08,8.99,35.69,0.88,33.5,57.01,118.5
3/20/2013,0,28.4,54,2.5,397.67,9.17,42.99,1.02,29.49,49.72,136.24
3/21/2013,0,28.5,57,3,470.43,6.32,41.35,0.9,25.43,101.79,136.14
3/22/2013,0,27.9,51,2,377.02,11.59,54.36,0.92,22.86,130.48,222.07
3/23/2013,17,28.1,72,2,372.53,12.11,57.05,1.75,16.95,126.03,124.31
3/24/2013,1,29.2,69,2,367.99,10.1,48.43,0.93,21.35,57.8,101.83
3/25/2013,0,29.7,63,2,288.75,5.8,38.13,0.77,31.28,101.53,110.93
3/26/2013,0,30.2,56,2,285.11,3.78,22.11,0.63,25.78,61.09,114.26
3/27/2013,0,29.7,55,2,288.33,9.52,28.01,0.45,27.83,55,103.61
3/28/2013,0,29.8,57,2.5,295.55,7.07,29.56,0.4,28.02,65.15,185.73
3/29/2013,0,28.4,48,3.8,285.71,9.42,39.09,0.84,29.5,84.14,152.36
